id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
2209372603899877,tx,14dca17a8d6b68aa6cd3893b9a962015fb5b72ae4e656e6d4b2effda294dcb3e,91247,00000000000581e0cd5ddcdef11f0b5601d18864f7dbf2e079a0517ddc772961,0,1,5000000000,1,5000000000,141822
4748014408170741,tx,5da0fb0f7efa6e51fe2b81ab445757a4d3c55bfbf151ebd956aae77f015af286,91303,00000000000161bba845cd7f9ea0f66921302e475e86a421b24b85e5608aaacd,0,1,47545000000,2,47545000000,141912
coinbase91308,coinbase,"",-1,"",0,0,0,1,5000000000,-1
2880238555531357,tx,e34ba103a2e85303974d782958ee324623fdd4c56cb8704d99e842c45f7edc51,91338,000000000008c1b3c9bec1c3e44b3bd2a433b2ea386f92104a40ed952974800f,0,1,5000000000,1,5000000000,141968
1502770896221367,tx,a5f5b6c3aa12392671e43fb33fd132d926738f3e409c992a6eb8a595eb18b62a,91362,00000000000cf2575961f6de22afd66da0ad1173a0af6041813caa426b31c2fc,0,1,5000000000,1,5000000000,142015
3283284376328026,tx,ac2ded3589280f4005a6437cde7797c9f9092272aa3b27220ad7ba94b709515d,91417,0000000000031639552716ebabf8d036eea5f27b0f69adc2bec27934fa272ceb,0,1,5000000000,1,5000000000,142105
coinbase91437,coinbase,"",-1,"",0,0,0,1,5000000000,-1
1760726715766379,tx,4caa2eeca0bb931a12351405b3df65d7f0d686aea4e1091e8e5eb38413f90a32,91649,0000000000007d53a5acd66ffcb680cdf5a344cc4e0dd8a6da1bf12b584273e2,0,1,5000000000,1,5000000000,142460
6153923489013966,tx,6bcf799d4bea74b6c44501b275c17c845d663c5972f258d0e472064dbcafe7ae,91766,0000000000026f504a915e4ddb1c92a2919f353b1631d3acc69cf3ebc59c604c,0,1,5000000000,1,5000000000,142650
3804411984913979,tx,0c6bd3e27619e0f71ab7a6c81797f4465f5a295a75afbc43dbdf318587bd206c,91786,000000000004b7b63eeeee73bd96a2a1c93ecbf226977e7298bef087b701998f,0,1,5000000000,1,5000000000,142679
8885282180575058,tx,3aa43b5fe38ae62f430bc8a1c99ab2c78cb4f8b0a3c6be370f967ad1c0ef88fc,91807,00000000000e086f21a04ea8e420202c7705d1ca561e04e38a17330d7f4805ef,0,1,5000000000,1,5000000000,142718
5838879731852405,tx,13e8027249660be8bcee6c837aba57b32f06d0bb3b9b05ab6da9236d0271f3a5,91949,000000000001fcb0fbc926f07c3c2a0fbec2d7422e8204ad9b4311527648faa4,0,1,5000000000,1,5000000000,142951
